Α/Α,Γεωγρα-φικό επίπεδο,NUTS1,NUTS2,Γεωγραφικός κωδικός,Περιγραφή,Μόνιμος πληθυσμός
13559,7,2,43,40040306,Δημοτική Κοινότητα Βουτσαρά,42
13560,8,2,43,4004030601,"Βουτσαράς,ο",42
13561,7,2,43,40040307,Δημοτική Κοινότητα Γιανναίων,49
13562,8,2,43,4004030701,"Άνω Γιανναίοι,οι",13
13563,8,2,43,4004030702,"Κάτω Γιανναίοι,οι",36
13564,7,2,43,40040308,Δημοτική Κοινότητα Γραικού,2
13565,8,2,43,4004030801,"Γραικός,ο",2
13566,7,2,43,40040309,Δημοτική Κοινότητα Δυρραχίου,134
13567,8,2,43,4004030901,"Δυρράχιον,το",134
13568,7,2,43,40040310,Δημοτική Κοινότητα Ελληνίτσης,44
13569,8,2,43,4004031001,"Ελληνίτσα,η",44
13570,7,2,43,40040311,Δημοτική Κοινότητα Καμάρας,148
13571,8,2,43,4004031101,"Καμάρα,η",121
13572,8,2,43,4004031102,"Καμποχώριον,το",27
13573,7,2,43,40040312,Δημοτική Κοινότητα Λεπτινίου,29
13574,8,2,43,4004031201,"Λεπτίνιον,το",29
13575,7,2,43,40040313,Δημοτική Κοινότητα Νεοχωρίου Φαλαισίας,29
13576,8,2,43,4004031301,"Νεοχώριον,το",29
13577,7,2,43,40040314,Δημοτική Κοινότητα Πετρίνας,42
13578,8,2,43,4004031401,"Πετρίνα,η",23
13579,8,2,43,4004031402,"Μονή Αμπελάκη,η",3
13580,8,2,43,4004031403,"Σπαναίικα,τα",16
13581,7,2,43,40040315,Δημοτική Κοινότητα Ποταμιάς,51
13582,8,2,43,4004031501,"Ποταμιά,η",51
13583,7,2,43,40040316,Δημοτική Κοινότητα Ρουτσίου,40
13584,8,2,43,4004031601,"Ρούτσιον,το",40
13585,7,2,43,40040317,Δημοτική Κοινότητα Σκορτσινού,128
13586,8,2,43,4004031701,"Σκορτσινός,ο",128
13587,7,2,43,40040318,Δημοτική Κοινότητα Σουλαρίου,34
13588,8,2,43,4004031801,"Σουλάριον,το",34
13589,7,2,43,40040319,Δημοτική Κοινότητα Τουρκολέκα,131
13590,8,2,43,4004031901,"Τουρκολέκας,ο",131
13591,7,2,43,40040320,Δημοτική Κοινότητα Φαλαισίας,54
13592,8,2,43,4004032001,"Φαλαισία,η",41
13593,8,2,43,4004032002,"Μονή Μπούρα,η",13
13594,5,2,43,4005,ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,7245
13595,6,2,43,400501,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΕΩΝΙΔΙΟΥ,5315
13596,7,2,43,40050101,Δημοτική Κοινότητα Λεωνιδίου,3792
13597,8,2,43,4005010101,"Λεωνίδιον,το",3737
13598,8,2,43,4005010102,"Βοσκίνα,η",55
13599,8,2,43,4005010103,"Μονή Καρυάς,η",0
13600,7,2,43,40050102,Δημοτική Κοινότητα Αγίου Βασιλείου Κυνουρίας,56
13601,8,2,43,4005010201,"Άγιος Βασίλειος,ο",56
13602,7,2,43,40050103,Δημοτική Κοινότητα Βλησιδιάς,32
13603,8,2,43,4005010301,"Βλησιδιά,η",32
13604,7,2,43,40050104,Δημοτική Κοινότητα Κουνουπιάς,52
13605,8,2,43,4005010401,"Κουνουπιά,η",48
13606,8,2,43,4005010402,"Χούνη,η",4
13607,7,2,43,40050105,Δημοτική Κοινότητα Μαρίου,60
13608,8,2,43,4005010501,"Μάριον,το",35
13609,8,2,43,4005010502,"Βίγλα,η",25
13610,7,2,43,40050106,Δημοτική Κοινότητα Παλαιοχωρίου,121
13611,8,2,43,4005010601,"Παλαιοχώριον,το",121
13612,7,2,43,40050107,Δημοτική Κοινότητα Πελετών,225
13613,8,2,43,4005010701,"Πελετά,τα",191
13614,8,2,43,4005010702,"Αμυγδαλέα,η",34
13615,7,2,43,40050108,Δημοτική Κοινότητα Πηγαδίου,172
13616,8,2,43,4005010801,"Πηγάδιον,το",168
13617,8,2,43,4005010802,"Φωκιανό,το",4
13618,7,2,43,40050109,Δημοτική Κοινότητα Πλατανακίου,49
13619,8,2,43,4005010901,"Πλατανάκιον,το",49
13620,7,2,43,40050110,Δημοτική Κοινότητα Πουλίθρων,394
13621,8,2,43,4005011001,"Πούλιθρα,τα",394
13622,7,2,43,40050111,Δημοτική Κοινότητα Πραγματευτή,204
13623,8,2,43,4005011101,"Πραγματευτής,ο",139
13624,8,2,43,4005011102,"Λιβάδιον,το",31
13625,8,2,43,4005011103,"Σαμπατική,η",34
13626,7,2,43,40050112,Δημοτική Κοινότητα Τσιταλίων,158
13627,8,2,43,4005011201,"Τσιτάλια,τα",158
13628,6,2,43,400502,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΣΜΑ,253
13629,7,2,43,40050201,Δημοτική Κοινότητα Κοσμά,253
13630,8,2,43,4005020101,"Κοσμάς,ο",249
13631,8,2,43,4005020102,"Μονή Ελώνης,η",0
13632,8,2,43,4005020103,"Πηγάδιον,το",4
13633,6,2,43,400503,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΥΡΟΥ,1677
13634,7,2,43,40050301,Δημοτική Κοινότητα Τυρού,1019
13635,8,2,43,4005030101,"Παραλία Τυρού,η",784
13636,8,2,43,4005030102,"Άγιος Χριστόφορος,ο",9
13637,8,2,43,4005030103,"Ελληνικό,το",34
13638,8,2,43,4005030104,"Κρυονέρι,το",2
13639,8,2,43,4005030105,"Μονή Παναγίας Καρυάς,η",39
13640,8,2,43,4005030106,"Παλαιοχώρα,η",6
13641,8,2,43,4005030107,"Τυρός,ο",145
13642,7,2,43,40050302,Δημοτική Κοινότητα Πέρα Μελάνων,225
13643,8,2,43,4005030201,"Πέρα Μέλανα,τα",176
13644,8,2,43,4005030202,"Λιβάδι,το",39
13645,8,2,43,4005030203,"Πέτρα,η",10
13646,7,2,43,40050303,Δημοτική Κοινότητα Σαπουνακαίϊκων,433
13647,8,2,43,4005030301,"Σαπουνακαίικα,τα",143
13648,8,2,43,4005030302,"Παραλία,η",290
13649,4,2,43,41,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ,93216
13650,5,2,43,4101,ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ,32625
13651,6,2,43,410101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΑΥΠΛΙΕΩΝ,19375
13652,7,2,43,41010101,Δημοτική Κοινότητα Ναυπλιέων,14532
13653,8,2,43,4101010101,"Ναύπλιον,το",14532
13654,8,2,43,4101010102,"Μπούρτζιον,το (νησίς)",0
13655,7,2,43,41010102,Δημοτική Κοινότητα Αρίας,3529
13656,8,2,43,4101010201,"Άρια,η",3529
13657,7,2,43,41010103,Δημοτική Κοινότητα Λευκακίων,903
13658,8,2,43,4101010301,"Λευκάκια,τα",903
13659,7,2,43,41010104,Δημοτική Κοινότητα Πυργιωτίκων,411
13660,8,2,43,4101010401,"Πυργιώτικα,τα",366
13661,8,2,43,4101010402,"Ασπρόβρυση,η",20
13662,8,2,43,4101010403,"Παληοχώρα,η",25
13663,6,2,43,410102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΣΙΝΗΣ,5077
13664,7,2,43,41010201,Δημοτική Κοινότητα Δρεπάνου,1580
13665,8,2,43,4101020101,"Δρέπανον,το",1188
13666,8,2,43,4101020102,"Βιβάριον,το",252
13667,8,2,43,4101020103,"Καλλιθέα,η",108
13668,8,2,43,4101020104,"Μαραθέα,η",8
13669,8,2,43,4101020105,"Νέα Μαραθέα,η",24
13670,7,2,43,41010202,Δημοτική Κοινότητα Ασίνης,1243
13671,8,2,43,4101020201,"Ασίνη,η",1000
13672,8,2,43,4101020202,"Αγία Παρασκευή,η",212
13673,8,2,43,4101020203,"Παραλία Ασίνης,η",31
13674,7,2,43,41010203,Δημοτική Κοινότητα Ιρίων,841
13675,8,2,43,4101020301,"Ίρια,τα",523
13676,8,2,43,4101020302,"Κάντια,η",291
13677,8,2,43,4101020303,"Κατσιγιανναίικα,τα",27
13678,8,2,43,4101020304,"Πλατειά,η (νησίς)",0
13679,8,2,43,4101020305,"Ψηλή,η (νησίς)",0
13680,7,2,43,41010204,Δημοτική Κοινότητα Καρνεζαίικων,55
13681,8,2,43,4101020401,"Καρνεζαίικα,τα",14
13682,8,2,43,4101020402,"Άνω Καρνεζαίικα,τα",15
13683,8,2,43,4101020403,"Καναπίτσα,η",5
13684,8,2,43,4101020404,"Σταυροπόδιον,το",21
13685,7,2,43,41010205,Δημοτική Κοινότητα Τολού,1358
13686,8,2,43,4101020501,"Τολόν,το",1317
13687,8,2,43,4101020502,"Άγιος Αντώνιος,ο",41
13688,8,2,43,4101020503,"Δασκαλειό,το (νησίς)",0
13689,8,2,43,4101020504,"Κορωνήσι,το (νησίς)",0
13690,6,2,43,410103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΙΔΕΑΣ,4966
13691,7,2,43,41010301,Δημοτική Κοινότητα Αγίας Τριάδας,999
13692,8,2,43,4101030101,"Αγία Τριάδα,η",999
13693,7,2,43,41010302,Δημοτική Κοινότητα Ανυφίου,607
13694,8,2,43,4101030201,"Ανύφιον,το",607
13695,7,2,43,41010303,Δημοτική Κοινότητα Αραχναίου,539
13696,8,2,43,4101030301,"Αραχναίον,το",485
13697,8,2,43,4101030302,"Αμαριανός,ο",54
13698,7,2,43,41010304,Δημοτική Κοινότητα Αργολικού,573
13699,8,2,43,4101030401,"Αργολικόν,το",573
13700,7,2,43,41010305,Δημοτική Κοινότητα Ηραίου,113
13701,8,2,43,4101030501,"Ηραίον,το",113
13702,7,2,43,41010306,Δημοτική Κοινότητα Μάνεση,514
13703,8,2,43,4101030601,"Μάνεσης,ο",487
13704,8,2,43,4101030602,"Μετόχιον,το",27
13705,7,2,43,41010307,Δημοτική Κοινότητα Μιδέας,510
13706,8,2,43,4101030701,"Μιδέα,η",366
13707,8,2,43,4101030702,"Αμυγδαλίτσα,η",144
13708,7,2,43,41010308,Δημοτική Κοινότητα Παναρίτη,628
13709,8,2,43,4101030801,"Παναρίτης,ο",619
13710,8,2,43,4101030802,"Μονή Αγίου Θεοδοσίου του Νέου,η",9
13711,7,2,43,41010309,Δημοτική Κοινότητα Πουλλακίδας,483
13712,8,2,43,4101030901,"Πουλλακίδα,η",483
13713,6,2,43,410104,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΕΑΣ ΤΙΡΥΝΘΑΣ,3207
13714,7,2,43,41010401,Δημοτική Κοινότητα Νέας Τίρυνθας,1497
13715,8,2,43,4101040101,"Τίρυνς,η",260
13716,8,2,43,4101040102,"Καποδίστριας,ο",126
13717,8,2,43,4101040103,"Νέα Τίρυνς,η",1111
13718,7,2,43,41010402,Δημοτική Κοινότητα Αγίου Αδριανού,1281
13719,8,2,43,4101040201,"Άγιος Αδριανός,ο",1131
13720,8,2,43,4101040202,"Μονή Καρακαλά,η",23
13721,8,2,43,4101040203,"Παναγία,η",22
13722,8,2,43,4101040204,"Προφήτης Ηλίας,ο",105
13723,7,2,43,41010403,Δημοτική Κοινότητα Νέου Ροεινού,429
