"Α05. Απογραφή Πληθυσμού-Κατοικιών 2021. Κανονικές κατοικίες κατά κατάσταση κατοικίας (κατοικούμενες, κενές), διαθεσιμότητα δικτύου υδροδότησης και λουτρού",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Περιφερειακές Ενότητες ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Γεωγραφικό επίπεδο,Γεωγραφικός κωδικός,Περιγραφή/Δίκτυο υδροδότησης  ,Κανονικές κατοικίες,,,,,Κατοικούμενες,,,,,Κενές,,,,
,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,,Σύνολο,Διαθεσιμότητα λουτρού ή ντους ,,,
,,,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους ,,Mε λουτρό ή  ντους,Εκ των οποίων ,,Χωρίς λουτρό ή ντους 
,,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,,,,Λουτρό ή ντους εντός της κατοικίας,Λουτρό ή ντους εκτός της κατοικίας,
,,,,,,,,,,,,,,,,,
4,11104,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ,12129,11913,11574,342,214,5435,5419,5221,194,13,6691,6492,6349,145,198
4,11104,Διαθεσιμότητα δικτύου υδροδότησης ,12113,11913,11574,342,203,5432,5419,5221,194,10,6684,6492,6349,145,190
4,11104,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,12039,11851,11574,280,191,5371,5368,5221,143,0,6671,6481,6349,135,188
4,11104,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,71,64,0,64,9,58,54,0,54,7,15,13,0,13,4
4,11104,Χωρίς δίκτυο υδροδότησης ,13,0,0,0,13,6,0,0,0,6,5,0,0,0,5
4,11105,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,82232,81290,79606,1687,945,47999,47931,46614,1314,71,34236,33362,32989,370,870
4,11105,Διαθεσιμότητα δικτύου υδροδότησης ,81978,81290,79606,1687,691,47974,47931,46614,1314,46,34007,33362,32989,370,647
4,11105,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,81554,80888,79606,1286,663,47664,47639,46614,1022,22,33892,33252,32989,266,637
4,11105,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,427,399,0,399,30,307,289,0,289,21,117,107,0,107,12
4,11105,Χωρίς δίκτυο υδροδότησης ,252,0,0,0,252,27,0,0,0,27,227,0,0,0,227
4,11106,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ,56246,55132,53953,1182,1116,41391,41270,40281,992,123,14858,13865,13675,192,991
4,11106,Διαθεσιμότητα δικτύου υδροδότησης ,55746,55123,53944,1182,620,41333,41270,40281,992,66,14410,13856,13666,192,552
4,11106,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,55448,54873,53944,931,571,41112,41071,40281,793,39,14332,13804,13666,141,531
4,11106,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,301,252,0,252,52,224,196,0,196,30,75,54,0,54,18
4,11106,Χωρίς δίκτυο υδροδότησης ,502,6,6,0,494,54,0,0,0,54,451,6,6,0,442
3,112,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1097596,1087869,1068208,19664,9724,733905,733225,717364,15859,683,363688,354647,350842,3803,9039
3,112,Διαθεσιμότητα δικτύου υδροδότησης ,1094944,1087801,1068142,19661,7140,733603,733225,717364,15859,381,361338,354579,350776,3805,6758
3,112,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,1091698,1084862,1068142,16718,6839,731101,730871,717364,13505,229,360600,353989,350776,3217,6614
3,112,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,3243,2942,0,2942,299,2504,2352,0,2352,149,736,592,0,592,147
3,112,Χωρίς δίκτυο υδροδότησης ,2655,66,68,0,2586,300,0,0,0,300,2352,66,68,0,2284
4,11207,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,597566,594980,585669,9313,2589,457117,456946,448637,8306,173,140452,138036,137035,1004,2413
4,11207,Διαθεσιμότητα δικτύου υδροδότησης ,596912,594975,585661,9311,1940,457037,456946,448637,8306,89,139877,138026,137027,1002,1849
4,11207,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,596080,594192,585661,8529,1890,456280,456228,448637,7593,54,139797,137962,137027,938,1838
4,11207,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,829,780,0,780,53,755,716,0,716,37,77,66,0,66,14
4,11207,Χωρίς δίκτυο υδροδότησης ,658,8,5,0,646,82,0,0,0,82,572,8,5,0,562
4,11208,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΜΑΘΙΑΣ,67771,66799,65163,1633,970,50648,50549,49137,1410,101,17121,16252,16023,226,871
4,11208,Διαθεσιμότητα δικτύου υδροδότησης ,67493,66799,65163,1633,697,50592,50549,49137,1410,40,16903,16252,16023,226,653
4,11208,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,66972,66314,65163,1149,655,50122,50101,49137,966,18,16848,16211,16023,185,641
4,11208,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,523,488,0,488,38,468,446,0,446,25,53,39,0,39,17
4,11208,Χωρίς δίκτυο υδροδότησης ,276,0,0,0,276,57,0,0,0,57,221,0,0,0,221
4,11209,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΙΛΚΙΣ,45146,44430,43247,1186,714,28431,28384,27612,769,50,16717,16049,15637,414,667
4,11209,Διαθεσιμότητα δικτύου υδροδότησης ,44894,44430,43247,1186,461,28418,28384,27612,769,37,16478,16049,15637,414,428
4,11209,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,44673,44234,43247,985,442,28247,28220,27612,610,23,16430,16012,15637,377,416
4,11209,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,223,198,0,198,23,175,161,0,161,16,46,40,0,40,9
4,11209,Χωρίς δίκτυο υδροδότησης ,249,0,0,0,249,10,0,0,0,10,243,0,0,0,243
4,11210,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΛΛΑΣ,68023,66573,64586,1989,1446,48992,48909,47329,1578,85,19027,17666,17255,409,1364
4,11210,Διαθεσιμότητα δικτύου υδροδότησης ,67653,66516,64529,1989,1135,48977,48909,47329,1578,65,18679,17609,17198,409,1073
4,11210,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,67342,66243,64529,1711,1097,48726,48673,47329,1342,51,18619,17567,17198,366,1049
4,11210,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,313,275,0,275,35,247,233,0,233,17,63,40,0,40,21
4,11210,Χωρίς δίκτυο υδροδότησης ,366,55,55,0,308,17,0,0,0,17,345,55,55,0,294
4,11211,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΙΕΡΙΑΣ,73935,73172,71900,1276,760,45362,45276,44201,1072,84,28575,27899,27696,201,673
4,11211,Διαθεσιμότητα δικτύου υδροδότησης ,73711,73172,71898,1276,542,45314,45276,44201,1072,36,28400,27894,27695,201,505
4,11211,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,73498,72981,71898,1085,515,45159,45132,44201,929,25,28341,27851,27695,159,492
4,11211,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,216,188,0,188,26,157,146,0,146,13,57,45,0,45,15
4,11211,Χωρίς δίκτυο υδροδότησης ,221,3,3,0,215,46,0,0,0,46,173,3,3,0,171
4,11212,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΕΡΡΩΝ,102412,100857,98287,2568,1557,63405,63305,61516,1792,97,39009,37549,36773,774,1462
4,11212,Διαθεσιμότητα δικτύου υδροδότησης ,102291,100857,98287,2568,1436,63377,63305,61516,1792,69,38911,37549,36773,774,1364
4,11212,Διαθεσιμότητα δικτύου υδροδότησης εντός της κατοικίας,101803,100429,98287,2140,1377,62992,62952,61516,1433,43,38814,37480,36773,705,1336
4,11212,Διαθεσιμότητα δικτύου υδροδότησης εκτός της κατοικίας,485,431,0,431,57,389,357,0,357,29,100,71,0,71,25
