,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
8,1120901070303,"Σουλτογιανναίικα,τα",35,35,15,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209010704,Δημοτική Κοινότητα Πλαγιάς,826,816,533,5,0,4,3,0,0,0,0,1,12,4,0,0,254,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120901070401,"Πλαγιά,η",371,364,237,3,0,1,2,0,0,0,0,1,6,2,0,0,112,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120901070402,"Αγία Κυριακή,η",102,102,52,1,0,0,0,0,0,0,0,0,2,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120901070403,"Κορομηλέα,η",353,350,244,1,0,3,1,0,0,0,0,0,4,1,0,0,96,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1120902,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,17065,14497,9622,104,10,111,88,4,7,7,0,42,424,29,29,4,4016,2568,2464,3,2,6,3,1,1,0,0,4,81,3,0,0,0
6,112090201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΟΛΥΚΑΣΤΡΟΥ,6661,5835,3704,33,6,53,31,1,4,3,0,12,214,9,13,1,1751,826,768,0,1,1,1,0,1,0,0,0,52,2,0,0,0
7,11209020101,Δημοτική Κοινότητα Πολυκάστρου,2192,1742,1342,6,5,20,11,1,2,1,0,5,116,3,0,1,229,450,405,0,1,1,1,0,0,0,0,0,40,2,0,0,0
8,1120902010101,"Πολύκαστρον,το",2165,1715,1327,5,5,20,11,1,2,1,0,5,116,3,0,1,218,450,405,0,1,1,1,0,0,0,0,0,40,2,0,0,0
8,1120902010102,"Κουλιναίικα,τα",9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010103,"Λατομείον,το",18,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020102,Δημοτική Κοινότητα Αξιοχωρίου,353,349,235,3,0,1,1,0,0,0,0,0,6,1,0,0,102,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010201,"Αξιοχώριον,το",312,308,213,2,0,1,1,0,0,0,0,0,6,1,0,0,84,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010202,"Νέον Σιράκιον,το",41,41,22,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020103,Δημοτική Κοινότητα Άσπρου,619,596,361,1,0,0,2,0,0,1,0,0,32,0,0,0,199,23,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,1120902010301,"Άσπρος,ο",619,596,361,1,0,0,2,0,0,1,0,0,32,0,0,0,199,23,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,11209020104,Δημοτική Κοινότητα Βαφιοχωρίου,873,821,365,6,0,2,2,0,1,0,0,1,12,2,0,0,430,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010401,"Βαφιοχώριον,το",700,652,290,2,0,2,1,0,1,0,0,1,12,2,0,0,341,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010402,"Βαλτούδιον,το",46,45,19,1,0,0,1,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010403,"Κοτύλη,η",50,50,26,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010404,"Ξηρόλακκος,ο",48,48,20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010405,"Χερσοτόπιον,το",29,26,10,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020105,Δημοτική Κοινότητα Ειρηνικού,109,81,18,1,0,0,1,0,0,0,0,0,0,0,0,0,61,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010501,"Ειρηνικόν,το",109,81,18,1,0,0,1,0,0,0,0,0,0,0,0,0,61,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020106,Δημοτική Κοινότητα Ευζώνων,768,690,466,6,1,4,5,0,0,1,0,2,17,1,0,0,187,78,76,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,1120902010601,"Εύζωνοι,οι",330,300,202,2,1,2,2,0,0,1,0,2,7,0,0,0,81,30,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,1120902010602,"Μεταμόρφωσις,η",149,126,87,2,0,1,1,0,0,0,0,0,3,1,0,0,31,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010603,"Πλατανιά,η",249,224,142,2,0,1,2,0,0,0,0,0,6,0,0,0,71,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010604,"Τσολιάδες,οι",40,40,35,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020107,Δημοτική Κοινότητα Κορώνας,54,45,19,1,0,0,1,0,0,0,0,0,0,0,0,0,24,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010701,"Κορώνα,η",54,45,19,1,0,0,1,0,0,0,0,0,0,0,0,0,24,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020108,Δημοτική Κοινότητα Λιμνοτόπου,443,438,201,3,0,18,3,0,1,0,0,1,14,1,2,0,194,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010801,"Λιμνότοπος,ο",103,102,48,1,0,1,1,0,1,0,0,1,1,1,2,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010802,"Νέα Καβάλα,η",192,189,80,1,0,17,1,0,0,0,0,0,9,0,0,0,81,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010803,"Σιταριά,η",136,135,68,1,0,0,1,0,0,0,0,0,3,0,0,0,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902010804,"Χρυσόκαμπος,ο",12,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020109,Δημοτική Κοινότητα Μικρού Δάσους,356,335,221,2,0,2,2,0,0,0,0,1,2,0,2,0,103,21,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1120902010901,"Μικρόν Δάσος,το",356,335,221,2,0,2,2,0,0,0,0,1,2,0,2,0,103,21,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11209020110,Δημοτική Κοινότητα Πευκοδάσους,408,385,277,2,0,1,1,0,0,0,0,1,6,0,5,0,92,23,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0
8,1120902011001,"Πευκοδάσος,το",408,385,277,2,0,1,1,0,0,0,0,1,6,0,5,0,92,23,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0
7,11209020111,Δημοτική Κοινότητα Ποντοηρακλείας,486,353,199,2,0,5,2,0,0,0,0,1,9,1,4,0,130,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902011101,"Ποντοηράκλεια,η",468,336,195,2,0,5,2,0,0,0,0,1,9,1,4,0,117,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902011102,"Κάστρον,το",18,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,112090202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΞΙΟΥΠΟΛΗΣ,4105,3696,2564,30,1,33,26,1,0,1,0,14,81,12,15,0,918,409,395,0,0,2,0,0,0,0,0,0,12,0,0,0,0
7,11209020201,Δημοτική Κοινότητα Αξιουπόλεως,1559,1322,989,9,1,22,16,0,0,0,0,6,39,6,13,0,221,237,226,0,0,0,0,0,0,0,0,0,11,0,0,0,0
8,1120902020101,"Αξιούπολη,η",1416,1179,872,8,1,19,16,0,0,0,0,6,38,5,13,0,201,237,226,0,0,0,0,0,0,0,0,0,11,0,0,0,0
8,1120902020102,"Πηγή,η",143,143,117,1,0,3,0,0,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020202,Δημοτική Κοινότητα Γοργόπης,642,499,325,5,0,3,3,1,0,0,0,1,10,1,0,0,150,143,141,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,1120902020201,"Γοργόπη,η",642,499,325,5,0,3,3,1,0,0,0,1,10,1,0,0,150,143,141,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,11209020203,Δημοτική Κοινότητα Ειδομένης,342,328,225,4,0,2,2,0,0,1,0,0,9,1,0,0,84,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020301,"Ειδομένη,η",162,154,105,1,0,0,1,0,0,1,0,0,4,1,0,0,41,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020302,"Δογάνης,ο",53,50,36,2,0,1,0,0,0,0,0,0,2,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020303,"Χαμηλόν,το",127,124,84,1,0,1,1,0,0,0,0,0,3,0,0,0,34,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020204,Δημοτική Κοινότητα Πλαγιών,206,205,161,1,0,1,1,0,0,0,0,1,6,0,1,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020401,"Πλάγια,τα",206,205,161,1,0,1,1,0,0,0,0,1,6,0,1,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020205,Δημοτική Κοινότητα Ρυζιών,857,845,501,6,0,3,2,0,0,0,0,1,12,1,0,0,319,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020501,"Ρύζια,τα",413,406,256,2,0,2,1,0,0,0,0,1,10,0,0,0,134,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020502,"Βαλτοτόπιον,το",277,274,147,2,0,0,1,0,0,0,0,0,1,1,0,0,122,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020503,"Καμποχώριον,το",167,165,98,2,0,1,0,0,0,0,0,0,1,0,0,0,63,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020206,Δημοτική Κοινότητα Σκρα,281,279,219,3,0,0,2,0,0,0,0,2,2,1,0,0,50,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1120902020601,"Σκρα,το",208,206,149,2,0,0,2,0,0,0,0,1,1,1,0,0,50,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1120902020602,"Κούπα,η",73,73,70,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020207,Δημοτική Κοινότητα Φανού,218,218,144,2,0,2,0,0,0,0,0,3,3,2,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902020701,"Φανός,ο",218,218,144,2,0,2,0,0,0,0,0,3,3,2,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,112090203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΟΥΜΕΝΙΣΣΑΣ,3384,2871,2190,28,2,14,20,0,1,2,0,7,58,6,0,2,541,513,492,1,1,2,0,0,0,0,0,2,15,0,0,0,0
7,11209020301,Δημοτική Κοινότητα Γουμένισσας,1622,1369,1108,9,1,12,9,0,0,2,0,3,41,2,0,1,181,253,238,1,0,1,0,0,0,0,0,1,12,0,0,0,0
8,1120902030101,"Γουμένισσα,η",1622,1369,1108,9,1,12,9,0,0,2,0,3,41,2,0,1,181,253,238,1,0,1,0,0,0,0,0,1,12,0,0,0,0
7,11209020302,Δημοτική Κοινότητα Γρίβας,457,415,338,3,0,0,2,0,1,0,0,1,3,2,0,1,64,42,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,1120902030201,"Γρίβα,η",457,415,338,3,0,0,2,0,1,0,0,1,3,2,0,1,64,42,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7,11209020303,Δημοτική Κοινότητα Κάρπης,265,259,225,2,0,0,2,0,0,0,0,1,1,1,0,0,27,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902030301,"Κάρπη,η",265,259,225,2,0,0,2,0,0,0,0,1,1,1,0,0,27,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020304,Δημοτική Κοινότητα Καστανερής,178,173,140,2,1,1,1,0,0,0,0,1,0,1,0,0,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902030401,"Καστανερή,η",178,173,140,2,1,1,1,0,0,0,0,1,0,1,0,0,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020305,Δημοτική Κοινότητα Πενταλόφου,258,252,149,6,0,0,3,0,0,0,0,0,4,0,0,0,90,6,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,1120902030501,"Πεντάλοφον,το",154,149,90,3,0,0,2,0,0,0,0,0,2,0,0,0,52,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,1120902030502,"Ομαλόν,το",104,103,59,3,0,0,1,0,0,0,0,0,2,0,0,0,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020306,Δημοτική Κοινότητα Στάθη,193,189,135,2,0,0,2,0,0,0,0,1,4,0,0,0,45,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1120902030601,"Στάθης,ο",193,189,135,2,0,0,2,0,0,0,0,1,4,0,0,0,45,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11209020307,Δημοτική Κοινότητα Φιλυρίας,411,214,95,4,0,1,1,0,0,0,0,0,5,0,0,0,108,197,196,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1120902030701,"Φιλυριά,η",180,50,13,2,0,1,0,0,0,0,0,0,2,0,0,0,32,130,129,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1120902030702,"Γερακών,ο",231,164,82,2,0,0,1,0,0,0,0,0,3,0,0,0,76,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,112090204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΥΡΩΠΟΥ,2713,1932,1034,11,0,11,11,2,2,1,0,9,71,2,1,1,776,781,771,1,0,1,2,1,0,0,0,2,2,1,0,0,0
7,11209020401,Δημοτική Κοινότητα Ευρωπού,878,514,318,2,0,2,3,2,1,1,0,2,18,1,1,1,162,364,362,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1120902040101,"Ευρωπός,ο",878,514,318,2,0,2,3,2,1,1,0,2,18,1,1,1,162,364,362,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7,11209020402,Δημοτική Κοινότητα Αγίου Πέτρου,842,702,440,3,0,3,3,0,0,0,0,1,28,1,0,0,223,140,137,0,0,1,0,1,0,0,0,0,1,0,0,0,0
8,1120902040201,"Άγιος Πέτρος,ο",842,702,440,3,0,3,3,0,0,0,0,1,28,1,0,0,223,140,137,0,0,1,0,1,0,0,0,0,1,0,0,0,0
7,11209020403,Δημοτική Κοινότητα Μεσιάς,256,187,43,1,0,2,1,0,0,0,0,0,9,0,0,0,131,69,67,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,1120902040301,"Μεσιά,η",256,187,43,1,0,2,1,0,0,0,0,0,9,0,0,0,131,69,67,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,11209020404,Δημοτική Κοινότητα Πολυπέτρου,313,162,27,1,0,2,2,0,0,0,0,4,3,0,0,0,123,151,149,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,1120902040401,"Πολύπετρον,το",313,162,27,1,0,2,2,0,0,0,0,4,3,0,0,0,123,151,149,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,11209020405,Δημοτική Κοινότητα Τούμπας,424,367,206,4,0,2,2,0,1,0,0,2,13,0,0,0,137,57,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1120902040501,"Τούμπα,η",424,367,206,4,0,2,2,0,1,0,0,2,13,0,0,0,137,57,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,112090205,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΙΒΑΔΙΩΝ,202,163,130,2,1,0,0,0,0,0,0,0,0,0,0,0,30,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11209020501,Δημοτική Κοινότητα Λιβαδίων,202,163,130,2,1,0,0,0,0,0,0,0,0,0,0,0,30,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120902050101,"Λιβάδια,τα",202,163,130,2,1,0,0,0,0,0,0,0,0,0,0,0,30,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11210,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΛΛΑΣ,63414,53623,34147,353,214,446,329,16,62,13,0,120,1987,85,9,15,15827,9791,9104,2,29,40,11,13,1,0,0,17,554,5,0,1,14
5,1121001,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,10647,9101,6505,83,105,50,67,1,9,3,0,28,308,24,1,5,1912,1546,1444,0,12,1,3,1,0,0,0,5,76,1,0,0,3
6,112100101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΔΕΣΣΑΣ,7424,6250,4580,56,13,46,51,1,3,2,0,21,233,21,0,3,1220,1174,1099,0,0,1,3,1,0,0,0,5,62,1,0,0,2
7,11210010101,Δημοτική Κοινότητα Εδέσσης,4011,3306,2762,30,10,20,28,1,3,2,0,11,169,19,0,3,248,705,641,0,0,1,2,1,0,0,0,4,53,1,0,0,2
8,1121001010101,"Έδεσσα,η",3629,2984,2513,21,9,13,26,1,2,2,0,11,154,18,0,3,211,645,584,0,0,0,2,1,0,0,0,4,51,1,0,0,2
8,1121001010102,"Εκκλησιοχώριον,το",268,227,192,3,0,0,1,0,1,0,0,0,4,1,0,0,25,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010103,"Καισαριανά,τα",53,46,33,4,0,2,0,0,0,0,0,0,1,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1121001010104,"Προάστιον,το",61,49,24,2,1,5,1,0,0,0,0,0,10,0,0,0,6,12,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7,11210010102,Δημοτική Κοινότητα Άγρα,407,335,199,2,0,3,2,0,0,0,0,0,5,0,0,0,124,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010201,"Άγρας,ο",407,335,199,2,0,3,2,0,0,0,0,0,5,0,0,0,124,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010103,Δημοτική Κοινότητα Βρυτών,352,315,143,2,0,0,1,0,0,0,0,0,2,0,0,0,167,37,35,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,1121001010301,"Βρυτά,τα",352,315,143,2,0,0,1,0,0,0,0,0,2,0,0,0,167,37,35,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,11210010104,Δημοτική Κοινότητα Καρυδιάς,442,369,216,5,3,3,4,0,0,0,0,1,12,1,0,0,124,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010401,"Καρυδιά,η",220,186,117,2,2,2,2,0,0,0,0,1,1,1,0,0,58,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010402,"Κερασέαι,αι",222,183,99,3,1,1,2,0,0,0,0,0,11,0,0,0,66,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010105,Δημοτική Κοινότητα Μεσημερίου,365,308,233,4,0,1,2,0,0,0,0,1,6,0,0,0,61,57,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,1121001010501,"Μεσημέριον,το",365,308,233,4,0,1,2,0,0,0,0,1,6,0,0,0,61,57,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,11210010106,Δημοτική Κοινότητα Νησίου,238,203,132,2,0,1,3,0,0,0,0,1,5,0,0,0,59,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010601,"Νησίον,το",238,203,132,2,0,1,3,0,0,0,0,1,5,0,0,0,59,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010107,Δημοτική Κοινότητα Πλατάνης,172,164,133,1,0,4,2,0,0,0,0,1,2,1,0,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010701,"Πλατάνη,η",172,164,133,1,0,4,2,0,0,0,0,1,2,1,0,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010108,Δημοτική Κοινότητα Ριζαρίου,581,427,264,1,0,3,1,0,0,0,0,2,25,0,0,0,131,154,149,0,0,0,1,0,0,0,0,0,4,0,0,0,0
8,1121001010801,"Ριζάριον,το",581,427,264,1,0,3,1,0,0,0,0,2,25,0,0,0,131,154,149,0,0,0,1,0,0,0,0,0,4,0,0,0,0
7,11210010109,Δημοτική Κοινότητα Σωτήρας,522,501,239,7,0,6,5,0,0,0,0,3,6,0,0,0,235,21,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8,1121001010901,"Σωτήρα,η",177,170,103,2,0,1,1,0,0,0,0,2,0,0,0,0,61,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1121001010902,"Λύκοι,οι",82,79,40,3,0,0,1,0,0,0,0,0,1,0,0,0,34,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1121001010903,"Μαργαρίτα,η",160,157,68,1,0,0,2,0,0,0,0,1,3,0,0,0,82,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010904,"Παλαιά Σωτήρα,η",25,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001010905,"Σαμάριον,το",78,70,28,1,0,4,1,0,0,0,0,0,1,0,0,0,35,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010110,Δημοτική Κοινότητα Φλαμουριάς,334,322,259,2,0,5,3,0,0,0,0,1,1,0,0,0,51,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001011001,"Φλαμουριά,η",255,245,188,1,0,5,2,0,0,0,0,1,1,0,0,0,47,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001011002,"Αγία Φωτεινή,η",79,77,71,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,112100102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΒΕΓΟΡΙΤΙΔΑΣ,3223,2851,1925,27,92,4,16,0,6,1,0,7,75,3,1,2,692,372,345,0,12,0,0,0,0,0,0,0,14,0,0,0,1
7,11210010201,Δημοτική Κοινότητα Αρνίσσης,1044,928,675,13,8,1,7,0,1,1,0,1,28,0,0,2,191,116,114,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,1121001020101,"Άρνισσα,η",833,730,542,6,5,1,6,0,1,1,0,1,25,0,0,2,140,103,101,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,1121001020102,"Άγιος Δημήτριος,ο",49,49,41,3,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020103,"Δροσιά,η",63,63,49,1,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020104,"Νέα Ξανθόγεια,τα",89,76,43,2,2,0,0,0,0,0,0,0,1,0,0,0,28,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020105,"Ξανθόγεια,τα",10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010202,Δημοτική Κοινότητα Αγίου Αθανασίου,888,857,652,2,78,0,2,0,2,0,0,3,35,0,1,0,82,31,8,0,11,0,0,0,0,0,0,0,12,0,0,0,0
8,1121001020201,"Άγιος Αθανάσιος,ο",628,602,473,1,76,0,1,0,2,0,0,2,31,0,0,0,16,26,4,0,11,0,0,0,0,0,0,0,11,0,0,0,0
8,1121001020202,"Νέος Άγιος Αθανάσιος,ο",260,255,179,1,2,0,1,0,0,0,0,1,4,0,1,0,66,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,11210010203,Δημοτική Κοινότητα Γραμματικού,316,286,172,5,0,1,2,0,0,0,0,1,2,0,0,0,103,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020301,"Κάτω Γραμματικόν,το",218,190,93,3,0,0,1,0,0,0,0,1,1,0,0,0,91,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020302,"Άνω Γραμματικόν,το",98,96,79,2,0,1,1,0,0,0,0,0,1,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11210010204,Δημοτική Κοινότητα Παναγίτσας,651,510,301,4,6,1,4,0,2,0,0,2,6,2,0,0,182,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020401,"Παναγίτσα,η",442,356,235,2,5,1,2,0,2,0,0,2,5,2,0,0,100,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1121001020402,"Ζέρβη,η",209,154,66,2,1,0,2,0,0,0,0,0,1,0,0,0,82,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
